Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1282856,The MARTA Markets,970 Jefferson St NW,,Atlanta,GA,30318,5498,FULTON,Other,33.775246,-84.418808,,,-9397458.719935128,3998662.832898759
1283057,Lowery Food Mart,507 Joseph E Lowery Blvd NW,,Atlanta,GA,30314,3205,FULTON,Convenience Store,33.768593,-84.417389,,,-9397300.757577693,3997771.8827286283
1284847,BP Gas Station,610 Spring St NW,,Atlanta,GA,30308,2124,FULTON,Convenience Store,33.770653,-84.389473,,,-9394193.162672708,3998047.744468743
1293354,Parks Meat Market Llc Dba Country Meat Market,209 Edgewood Ave SE,Ste 124,Atlanta,GA,30303,3012,FULTON,Specialty Store,33.754364,-84.380013,,,-9393140.080289805,3995866.609089529
1293971,Northside Texaco,296 Northside Dr SW,Ste A,Atlanta,GA,30313,1228,FULTON,Convenience Store,33.746334,-84.406441,,,-9396082.03179249,3994791.5257221707
1317601,Speedzone Shell,1720 Mlk Jr Dr SW,,Atlanta,GA,30314,2258,FULTON,Convenience Store,33.751137,-84.443581,,,-9400216.437680552,3995434.555392096
1319091,Neighbors Market N/A,132 Joseph E Lowery Blvd NW,,Atlanta,GA,30314,3406,FULTON,Convenience Store,33.758595,-84.417557,,,-9397319.459252147,3996433.110082821
1323542,Westview Corner Grocery,1562 Ralph David Abernathy Blvd SW,,Atlanta,GA,30310,1253,FULTON,Grocery Store,33.743694,-84.438606,,,-9399662.623213854,3994438.0956445592
1353202,Speedzone Chevron,1739 Martin Luther King Jr Dr NW,,Atlanta,GA,30314,2227,FULTON,Convenience Store,33.751175,-84.443695,,,-9400229.128102502,3995439.6430075867
1357113,Whole Foods 10650,22 14th St NW,Ste C,Atlanta,GA,30309,4793,FULTON,Super Store,33.786587,-84.387955,,,-9394024.179685686,4000181.745746605
1364187,Kroger 695,725 Ponce de Leon Ave NE,,Atlanta,GA,30306,4300,FULTON,Super Store,33.773674,-84.363266,,,-9391275.81277749,3998452.3090451653
